STEERING (cc, dc, e, i, d, s): -0.036121, 0.000000, 0.036121, 0.000906, 1.440069, 3.702702, 1717610115.889412
STEERING (cc, dc, e, i, d, s): -0.036457, 0.000000, 0.036457, 0.001817, 0.013431, 3.827346, 1717610115.914397
STEERING (cc, dc, e, i, d, s): -0.036121, 0.000000, 0.036121, 0.002900, -0.011192, 3.902088, 1717610115.944379
STEERING (cc, dc, e, i, d, s): -0.036121, 0.000000, 0.036121, 0.003808, 0.000000, 3.992881, 1717610115.969515
STEERING (cc, dc, e, i, d, s): -0.033532, 0.000000, 0.033532, 0.004646, -0.103529, 3.817862, 1717610115.994519
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.005453, -0.051733, 3.769087, 1717610116.019538
STEERING (cc, dc, e, i, d, s): -0.032574, 0.000000, 0.032574, 0.006270, 0.013371, 3.884390, 1717610116.044634
STEERING (cc, dc, e, i, d, s): -0.032574, 0.000000, 0.032574, 0.007085, 0.000000, 3.965837, 1717610116.069638
STEERING (cc, dc, e, i, d, s): -0.032909, 0.000000, 0.032909, 0.008073, 0.011171, 4.098253, 1717610116.099678
STEERING (cc, dc, e, i, d, s): -0.032574, 0.000000, 0.032574, 0.008887, -0.013427, 4.146104, 1717610116.124670
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.009854, -0.011188, 4.209240, 1717610116.154663
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.010662, 0.000000, 4.290044, 1717610116.179728
STEERING (cc, dc, e, i, d, s): -0.031902, 0.000000, 0.031902, 0.011459, -0.013439, 4.336149, 1717610116.204698
STEERING (cc, dc, e, i, d, s): -0.032574, 0.000000, 0.032574, 0.012275, 0.026797, 4.484842, 1717610116.229743
STEERING (cc, dc, e, i, d, s): -0.032574, 0.000000, 0.032574, 0.013091, 0.000000, 4.566416, 1717610116.254786
STEERING (cc, dc, e, i, d, s): -0.032574, 0.000000, 0.032574, 0.014068, 0.000000, 4.664150, 1717610116.284790
STEERING (cc, dc, e, i, d, s): -0.031902, 0.000000, 0.031902, 0.014867, -0.026803, 4.676918, 1717610116.309829
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.015676, 0.013370, 4.791388, 1717610116.334928
STEERING (cc, dc, e, i, d, s): -0.031615, 0.000000, 0.031615, 0.016468, -0.024886, 4.808240, 1717610116.359970
STEERING (cc, dc, e, i, d, s): -0.032574, 0.000000, 0.032574, 0.017284, 0.038246, 4.985770, 1717610116.385038
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.018091, -0.013408, 5.032896, 1717610116.410065
STEERING (cc, dc, e, i, d, s): -0.031902, 0.000000, 0.031902, 0.018890, -0.013397, 5.079246, 1717610116.435112
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.019698, 0.013393, 5.193577, 1717610116.460168
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.020503, 0.000000, 5.274144, 1717610116.485159
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.021312, 0.000000, 5.355029, 1717610116.510249
STEERING (cc, dc, e, i, d, s): -0.032238, 0.000000, 0.032238, 0.022120, 0.000000, 5.435767, 1717610116.535293
STEERING (cc, dc, e, i, d, s): -0.030608, 0.000000, 0.030608, 0.022885, -0.065143, 5.349360, 1717610116.560313
STEERING (cc, dc, e, i, d, s): -0.030321, 0.000000, 0.030321, 0.023644, -0.011503, 5.396411, 1717610116.585317
STEERING (cc, dc, e, i, d, s): -0.030321, 0.000000, 0.030321, 0.024403, 0.000000, 5.472370, 1717610116.610369
STEERING (cc, dc, e, i, d, s): -0.030608, 0.000000, 0.030608, 0.025170, 0.011483, 5.577803, 1717610116.635418
STEERING (cc, dc, e, i, d, s): -0.030608, 0.000000, 0.030608, 0.025937, 0.000000, 5.654477, 1717610116.660468
STEERING (cc, dc, e, i, d, s): -0.030944, 0.000000, 0.030944, 0.026712, 0.013396, 5.765547, 1717610116.685518
STEERING (cc, dc, e, i, d, s): -0.029985, 0.000000, 0.029985, 0.027461, -0.038376, 5.744583, 1717610116.710501
STEERING (cc, dc, e, i, d, s): -0.029985, 0.000000, 0.029985, 0.028211, 0.000000, 5.819584, 1717610116.735514
STEERING (cc, dc, e, i, d, s): -0.029649, 0.000000, 0.029649, 0.028954, -0.013391, 5.860324, 1717610116.760572
STEERING (cc, dc, e, i, d, s): -0.030608, 0.000000, 0.030608, 0.029722, 0.038215, 6.032989, 1717610116.785660
