# ########################################
# RDDF ANNOTATIONS AT VALE TUBARAO
#
# DESCRIPTION                             	TYPE	CODE	THETA    	X_COORDINATE  	Y_COORDINATE  	Z_COORDINATE  	RADIUS        	LANE
# ########################################	####	####	#########	##############	##############	##############	##############	########

PLACE_Inicio								13		0		-2.768		7758581.4		-369142.2		0				0				-1

PEDESTRIAN_TRACK_STOP_1						12		0		-2.695		7758579.20		-369146.40 		0				0				-1
PEDESTRIAN_TRACK_1							3		0		-2.731		7758576.60		-369149.20		7.00			7.00			-1

PEDESTRIAN_TRACK_STOP_2						12		0		-2.752		7758530.07		-369167.36 		0				0				-1
PEDESTRIAN_TRACK_2							3		0		-2.761		7758524.40		-369170.20		7.00			7.00			-1

PEDESTRIAN_TRACK_STOP_3						12		0		1.959		7758440.20		-369123.60 		0				0				-1
PEDESTRIAN_TRACK_3							3		0		1.945		7758437.60		-369121.40		7.80			7.80			-1

TRAFFIC_LIGHT_STOP_Merge_NO_Avenida_DITI	10		0		2.401		7758409.20		-369052.00		0				0				-1
TRAFFIC_LIGHT_Merge_NO_Avenida_DITI			8		0		1.935131	7758400.829670	-369043.109073	2.162307		0				-1

PEDESTRIAN_TRACK_STOP_4						12		0		0.869		7758412.80		-369041.60 		0				0				-1
PEDESTRIAN_TRACK_4							3		0		0.846		7758414.20		-369036.20		7.50			7.50			-1

PEDESTRIAN_TRACK_STOP_5						12		0		0.681		7758471.60		-368983.60 		0				0				-1
PEDESTRIAN_TRACK_5							3		0		0.663		7758473.80		-368978.40		8.50			8.50			-1

PEDESTRIAN_TRACK_STOP_6						12		0		0.668		7758553.40		-368915.40 		0				0				-1
PEDESTRIAN_TRACK_6							3		0		0.631		7758554.40		-368911.80		11.00			11.00			-1

PEDESTRIAN_TRACK_STOP_7						12		0		0.639		7758606.00		-368876.20 		0				0				-1
PEDESTRIAN_TRACK_7							3		0		0.641		7758608.20		-368870.40		9.00			9.00			-1
 
TRAFFIC_LIGHT_STOP_Portaria_Camburi			10		0		1.041		7758736.00		-368759.40		0				0				-1
TRAFFIC_LIGHT_Portaria_Camburi_alto			8		0		1.018200	7758742.038318	-368748.621678	6.319857		0				-1
TRAFFIC_LIGHT_Portaria_Camburi_baixo		8		0		1.018200	7758741.676891	-368755.696610	2.686935		0				-1

TRAFFIC_LIGHT_STOP_Restaurante_Central		10		0		0.022		7758796.40		-368723.00		0				0				-1
TRAFFIC_LIGHT_Restaurante_Central			8		0		0.042025	7758811.934776	-368722.325101	5.967269		0				-1

PEDESTRIAN_TRACK_STOP_8						12		0		0.000		7759055.60		-368719.80 		0				0				-1
PEDESTRIAN_TRACK_8							3		0		0.000		7759057.20		-368718.80		6.00			6.00			-1

YIELD_Rotatoria_Edificio_Belesa				14		0		0.000		7759100.20		-368720.80 		0				0				-1

PEDESTRIAN_TRACK_STOP_9						12		0		-1.444		7759125.00		-368741.80 		0				0				-1
PEDESTRIAN_TRACK_9							3		0		-1.559		7759128.40		-368747.60		7.00			7.00			-1

PEDESTRIAN_TRACK_STOP_10					12		0		-1.558		7759127.40		-368867.00 		0				0				-1
PEDESTRIAN_TRACK_10							3		0		-1.560		7759129.40		-368871.60		7.00			7.00			-1

BUMP_1										6		0		-1.556		7759129.80		-368952.80		0				0				-1

BUMP_2										6		0		-1.551		7759130.40		-369001.60		0				0				-1

STOP_Merge_S_Linha_Ferrea					4		0		-2.756		7759091.00		-369106.80		0				0				-1

PEDESTRIAN_TRACK_STOP_11					12		0		-3.015		7759060.00		-369116.00 		0				0				-1
PEDESTRIAN_TRACK_11							3		0		-3.058		7759056.60		-369119.00		6.00			6.00			-1

BUMP_3										6		0		-3.109		7758915.20		-369124.60		0				0				-1

BUMP_4										6		0		3.091		7758797.80		-369127.00		0				0				-1

PEDESTRIAN_TRACK_STOP_12					12		0		-2.955		7758665.00		-369120.40 		0				0				-1
PEDESTRIAN_TRACK_12							3		0		-2.995		7758661.20		-369122.40		7.00			7.00			-1
