date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:27	876/876	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Jan%202011%2017:37:00%20GMT	http://carmen.sourceforge.net/robots.txt		(from )
15:35:28	2620/2620	---MC-	200	added ('OK')	text/html	etag:%22a3c-479bb2cf5e3c0%22	http://carmen.sourceforge.net/	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/index.html	(from )
15:35:28	871/871	---M--	200	added ('OK')	text/css	etag:%22367-40c5a90286900%22	http://carmen.sourceforge.net/styles/styles.css	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/styles/styles.css	(from )
15:35:29	13552/13552	---M--	200	added ('OK')	image/png	etag:%2234f0-40b2c33d66dc0%22	http://carmen.sourceforge.net/images/carmen-logo-small.png	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/images/carmen-logo-small.png	(from )
15:35:29	2612/2612	---MC-	200	added ('OK')	text/html	etag:%22a34-479bb2cf5e3c0%22	http://carmen.sourceforge.net/home.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/home.html	(from )
15:35:30	4253/4253	---MC-	200	added ('OK')	text/html	etag:%22109d-479bb2cf5e3c0%22	http://carmen.sourceforge.net/intro.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/intro.html	(from )
15:35:30	3295/3295	---MC-	200	added ('OK')	text/html	etag:%22cdf-479bb2cf5e3c0%22	http://carmen.sourceforge.net/core_functionality.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/core_functionality.html	(from )
15:35:30	6725/6725	---MC-	200	added ('OK')	text/html	etag:%221a45-479bb2cf5e3c0%22	http://carmen.sourceforge.net/news.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/news.html	(from )
15:35:30	2714/2714	---MC-	200	added ('OK')	text/html	etag:%22a9a-479bb2cf5e3c0%22	http://carmen.sourceforge.net/repository.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/repository.html	(from )
15:35:31	4219/4219	---MC-	200	added ('OK')	text/html	etag:%22107b-479bb2cf5e3c0%22	http://carmen.sourceforge.net/update.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/update.html	(from )
15:35:31	4603/4603	---MC-	200	added ('OK')	text/html	etag:%2211fb-479bb2cf5e3c0%22	http://carmen.sourceforge.net/getting_carmen.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/getting_carmen.html	(from )
15:35:31	3692/3692	---MC-	200	added ('OK')	text/html	etag:%22e6c-479bb2cf5e3c0%22	http://carmen.sourceforge.net/hardware.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/hardware.html	(from )
15:35:31	19406/19406	---MC-	200	added ('OK')	text/html	etag:%224bce-479bb2cf5e3c0%22	http://carmen.sourceforge.net/using_carmen.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/using_carmen.html	(from )
15:35:32	29006/29006	---MC-	200	added ('OK')	text/html	etag:%22714e-479bb2cf5e3c0%22	http://carmen.sourceforge.net/config_param.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/config_param.html	(from )
15:35:32	46482/46482	---MC-	200	added ('OK')	text/html	etag:%22b592-479bb2cf5e3c0%22	http://carmen.sourceforge.net/program_carmen.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/program_carmen.html	(from )
15:35:33	9504/9504	---MC-	200	added ('OK')	text/html	etag:%222520-479bb2cf5e3c0%22	http://carmen.sourceforge.net/FAQ.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/FAQ.html	(from )
15:35:33	4861/4861	---MC-	200	added ('OK')	text/html	etag:%2212fd-479bb2cf5e3c0%22	http://carmen.sourceforge.net/papers.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/papers.html	(from )
15:35:33	3442/3442	---MC-	200	added ('OK')	text/html	etag:%22d72-479bb2cf5e3c0%22	http://carmen.sourceforge.net/mailing_lists.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/mailing_lists.html	(from )
15:35:33	3996/3996	---MC-	200	added ('OK')	text/html	etag:%22f9c-479bb2cf5e3c0%22	http://carmen.sourceforge.net/contributers.html	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/contributers.html	(from )
15:35:33	174/174	---M--	200	added ('OK')	image/png	etag:%22ae-40b2c33d66dc0%22	http://carmen.sourceforge.net/images/line-200.png	C:/Documents%20and%20Settings/PC/Meus%20documentos/Carmen%20Robot/Carmen%20Robot/carmen.sourceforge.net/images/line-200.png	(from )
