Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,POPULARITY,PRICE,PURCHASE-URL,SPICEPREFIX
1,100,R-US_R0603,R0603,R75,NPN Transistror,,,,,,,,,,,,,,,,,0,,,
16,133,R-US_R0603,R0603,"R30, R32, R34, R36, R38, R40, R42, R44, R47, R50, R52, R57, R59, R61, R63, R67",DIODE,,,,,,,,,,,,,,,,,22,,,
7,890,R-US_R0603,R0603,"R9, R14, R18, R21, R23, R25, R27",LED,,,,,,,,,,,,,,,,,28,,,
3,100k,R-US_R0402,R0402,"R53, R54, R55",,,,,,,,,,,,,,,unknown,unknown,,3,,,
14,100n,C-EUC0402,C0402,"C1, C6, C8, C9, C10, C14, C17, C18, C22, C23, C24, C25, C26, C27",,,,,,,,,,,,,,,unknown,unknown,,1,,,
1,100u,"CPOL-EUUD-6,3X7,7","UD-6,3X7,7_NICHICON",C5,NPN TRANSISTOR,,,,,,,,,,,,,,,,,0,,,
1,10K,R-US_R0603,R0603,R2,PIN HEADER,,,,,,,,,,,,,,,,,64,,,
2,10k,R-US_R0603,R0603,"R90, R93",PIN HEADER,,,,,,,,,,,,,,,,,67,,,
2,10n,C-EUC0402,C0402,"C15, C16","RESISTOR, American symbol",,,,,,,,,,,,,,,,,77,,,R
4,10u,CPOL-EUA/3216-18R,A/3216-18R,"C2, C3, C7, C19","RESISTOR, American symbol",,,,,,,,,,,,,,,,,34,,,R
4,12k,R-US_R0603,R0603,"R69, R97, R106, R115","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,18,,,C
2,1K,R-US_R0402,R0402,"R5, R6","POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,,,,,,1,,,C
27,1k,R-US_R0402,R0402,"R1, R29, R31, R33, R35, R37, R39, R41, R43, R46, R48, R51, R56, R58, R60, R62, R66, R71, R73, R74, R81, R82, R84, R85, R100, R109, R118","RESISTOR, American symbol",,,,,,,,,,,,,,,,,77,,,R
2,1kpF,C-EUC0402,C0402,"C11, C12",POTENTIOMETER,,,,,,,,,,,,,,,,,5,,,
1,1N4007,DIODE-SOD123,SOD123,D3,PIN HEADER,,,,,,,,,,,,,,unknown,unknown,,48,,,
23,1N4148WS,1N4148WS,SODFL2512X100N,"D1, D2, D4, D5, D6, D8, D10, D12, D14, D15, D16, D17, D18, D19, D20, D21, D23, D25, D27, D29, D31, D33, GND","RESISTOR, American symbol",,,,,,,,,,,,,,,,,77,,,R
1,1uF,CPOL-EUA/3216-18R,A/3216-18R,C13,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,18,,,C
2,"3,9n",C-EUC0402,C0402,"C20, C21","POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,,,,,,1,,,C
1,3.3k,R-US_R0402,R0402,R3,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,77,,,R
18,33k,R-US_R0402,R0402,"R68, R70, R72, R76, R77, R78, R79, R80, R83, R96, R98, R99, R105, R107, R108, R114, R116, R117","RESISTOR, American symbol",,,,,,,,,,,,,,,,,77,,,R
