image label x y z rx ry rz timestamp
/dados/ufes/20160825/1472149903.313134.bb3.l.png 0 7757730.59215 -363561.54727 0.0 0.043222 -0.017155 0.644966 1472149903.313134
/dados/ufes/20160825/1472149905.001289.bb3.l.png 1 7757734.50851 -363558.56517 0.0 0.04451 -0.029127 0.659499 1472149905.001289
/dados/ufes/20160825/1472149906.060165.bb3.l.png 2 7757738.55802 -363555.49752 0.0 0.0538 -0.041784 0.667449 1472149906.060165
/dados/ufes/20160825/1472149906.997631.bb3.l.png 3 7757742.82367 -363552.192685 0.0 0.050124 -0.059661 0.672689 1472149906.997631
/dados/ufes/20160825/1472149907.816586.bb3.l.png 4 7757746.94701 -363548.955468 0.0 0.052465 -0.06051 0.675331 1472149907.816586
/dados/ufes/20160825/1472149908.632024.bb3.l.png 5 7757751.15289 -363545.679128 0.0 0.061043 -0.061639 0.67479 1472149908.632024
/dados/ufes/20160825/1472149909.497773.bb3.l.png 6 7757755.17749 -363542.536042 0.0 0.04701 -0.051408 0.671567 1472149909.497773
/dados/ufes/20160825/1472149910.250272.bb3.l.png 7 7757759.34431 -363539.334225 0.0 0.060738 -0.055309 0.669612 1472149910.250272
/dados/ufes/20160825/1472149911.127982.bb3.l.png 8 7757763.5803 -363536.048717 0.0 0.062855 -0.061549 0.668036 1472149911.127982
/dados/ufes/20160825/1472149911.747816.bb3.l.png 9 7757767.53628 -363533.035064 0.0 0.052301 -0.060121 0.636806 1472149911.747816
/dados/ufes/20160825/1472149912.269294.bb3.l.png 10 7757771.70943 -363530.125684 0.0 0.04631 -0.053381 0.569409 1472149912.269294
/dados/ufes/20160825/1472149912.834065.bb3.l.png 11 7757776.34855 -363527.381462 0.0 0.039793 -0.051281 0.470586 1472149912.834065
/dados/ufes/20160825/1472149913.465572.bb3.l.png 12 7757781.01848 -363525.260511 0.0 0.023184 -0.049665 0.369402 1472149913.465572
/dados/ufes/20160825/1472149914.035793.bb3.l.png 13 7757785.36068 -363523.79814 0.0 0.01071 -0.055732 0.280425 1472149914.035793
/dados/ufes/20160825/1472149914.647974.bb3.l.png 14 7757790.34175 -363522.668803 0.0 0.004692 -0.04994 0.176091 1472149914.647974
/dados/ufes/20160825/1472149915.272514.bb3.l.png 15 7757795.56737 -363522.085883 0.0 -0.016409 -0.057107 0.052423 1472149915.272514
/dados/ufes/20160825/1472149915.871040.bb3.l.png 16 7757800.77125 -363522.055879 0.0 -0.030969 -0.057848 -0.062353 1472149915.871040
/dados/ufes/20160825/1472149916.497833.bb3.l.png 17 7757806.26278 -363522.71966 0.0 -0.032418 -0.070944 -0.173494 1472149916.497833
/dados/ufes/20160825/1472149917.059107.bb3.l.png 18 7757811.35976 -363523.889793 0.0 -0.040171 -0.084624 -0.271096 1472149917.059107
/dados/ufes/20160825/1472149917.626861.bb3.l.png 19 7757816.32276 -363525.560282 0.0 -0.058628 -0.097141 -0.37834 1472149917.626861
/dados/ufes/20160825/1472149918.181418.bb3.l.png 20 7757820.90523 -363527.692024 0.0 -0.06354 -0.119362 -0.500061 1472149918.181418
/dados/ufes/20160825/1472149918.789165.bb3.l.png 21 7757825.64337 -363530.684053 0.0 -0.045849 -0.114765 -0.616288 1472149918.789165
/dados/ufes/20160825/1472149919.336405.bb3.l.png 22 7757829.79265 -363533.912298 0.0 -0.043696 -0.126405 -0.693108 1472149919.336405
/dados/ufes/20160825/1472149919.827234.bb3.l.png 23 7757833.42125 -363537.052726 0.0 -0.026064 -0.123288 -0.701289 1472149919.827234
/dados/ufes/20160825/1472149920.390376.bb3.l.png 24 7757837.58636 -363540.67058 0.0 -0.040371 -0.112431 -0.707463 1472149920.390376
/dados/ufes/20160825/1472149920.880758.bb3.l.png 25 7757841.5445 -363544.121042 0.0 -0.044713 -0.112108 -0.701073 1472149920.880758
/dados/ufes/20160825/1472149921.381091.bb3.l.png 26 7757845.43247 -363547.456204 0.0 -0.063774 -0.098463 -0.698103 1472149921.381091
/dados/ufes/20160825/1472149921.943010.bb3.l.png 27 7757849.45367 -363550.902591 0.0 -0.067298 -0.092241 -0.700273 1472149921.943010
/dados/ufes/20160825/1472149922.504589.bb3.l.png 28 7757853.9874 -363554.761927 0.0 -0.054056 -0.070025 -0.702074 1472149922.504589
/dados/ufes/20160825/1472149923.002408.bb3.l.png 29 7757857.81597 -363558.076782 0.0 -0.048803 -0.062826 -0.703569 1472149923.002408
/dados/ufes/20160825/1472149923.498026.bb3.l.png 30 7757861.52515 -363561.432695 0.0 -0.034647 -0.051605 -0.716709 1472149923.498026
/dados/ufes/20160825/1472149923.999866.bb3.l.png 31 7757865.42484 -363564.906026 0.0 -0.036243 -0.053184 -0.72191 1472149923.999866
/dados/ufes/20160825/1472149924.562725.bb3.l.png 32 7757869.4296 -363568.522296 0.0 -0.031756 -0.032186 -0.72542 1472149924.562725
