STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000866, -0.000080, -0.002342, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000866, -0.000066, 0.002852, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000866, -0.000132, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000866, -0.000091, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000866, -0.000078, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000069, 0.000156, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000117, -0.000092, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000089, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000077, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000061, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000123, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000086, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000073, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000074, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000111, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000090, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000078, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000061, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000123, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000086, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000072, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000069, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000116, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000090, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000077, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000062, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000122, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000086, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000074, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000068, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000116, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000090, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000077, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000067, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000118, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000086, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000073, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000069, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000116, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000090, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000077, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000813, -0.000062, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000707, -0.000107, 0.000175, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000707, -0.000075, -0.000249, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000707, -0.000063, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000707, -0.000060, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000707, -0.000101, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000707, -0.000078, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000602, -0.000058, 0.000276, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000602, -0.000045, -0.000351, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000602, -0.000091, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000496, -0.000052, 0.000250, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000496, -0.000044, -0.000296, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000496, -0.000046, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000496, -0.000068, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000443, -0.000049, 0.000120, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000443, -0.000042, -0.000140, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000443, -0.000033, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000443, -0.000067, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000338, -0.000036, 0.000250, 0.000000
