STEERING (cc, dc, e, i, d, s): -0.003190, -0.000000, 0.003190, 0.000290, 0.000000, -5.837616
STEERING (cc, dc, e, i, d, s): -0.002979, -0.000000, 0.002979, 0.000196, 0.000000, -5.856786
STEERING (cc, dc, e, i, d, s): -0.002979, -0.000000, 0.002979, 0.000166, 0.000000, -5.649510
STEERING (cc, dc, e, i, d, s): -0.002979, -0.000000, 0.002979, 0.000140, 0.000000, -5.474033
STEERING (cc, dc, e, i, d, s): -0.002979, -0.000000, 0.002979, 0.000255, 0.000000, -5.155071
STEERING (cc, dc, e, i, d, s): -0.002979, -0.000000, 0.002979, 0.000197, 0.000000, -4.908190
STEERING (cc, dc, e, i, d, s): -0.002979, -0.007571, -0.004593, -0.000262, -0.000000, -14.708058
STEERING (cc, dc, e, i, d, s): -0.002979, -0.007571, -0.004593, -0.000218, 0.000000, -14.981386
STEERING (cc, dc, e, i, d, s): -0.002979, -0.007571, -0.004593, -0.000406, 0.000000, -15.489263
STEERING (cc, dc, e, i, d, s): -0.003190, -0.007571, -0.004381, -0.000289, 0.000000, -15.586588
STEERING (cc, dc, e, i, d, s): -0.003348, -0.007571, -0.004223, -0.000227, -0.000000, -15.671975
STEERING (cc, dc, e, i, d, s): -0.003559, -0.007571, -0.004012, -0.000189, 0.000000, -15.644022
STEERING (cc, dc, e, i, d, s): -0.004193, -0.007571, -0.003378, -0.000295, 0.000000, -15.219847
STEERING (cc, dc, e, i, d, s): -0.005038, -0.007571, -0.002533, -0.000167, 0.000000, -14.371832
STEERING (cc, dc, e, i, d, s): -0.005461, -0.007571, -0.002110, -0.000121, -0.000000, -13.994484
STEERING (cc, dc, e, i, d, s): -0.006095, -0.007571, -0.001476, -0.000067, 0.000000, -13.285356
STEERING (cc, dc, e, i, d, s): -0.006676, -0.007571, -0.000895, -0.000081, -0.000000, -12.660395
STEERING (cc, dc, e, i, d, s): -0.007045, -0.007571, -0.000526, -0.000035, -0.000000, -12.241364
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000024, -0.000000, -12.205539
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000024, -0.000000, -12.235672
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000041, 0.000000, -12.286677
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -12.325567
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000029, 0.000000, -12.361823
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -12.400098
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000032, 0.000000, -12.439921
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -12.478512
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000025, 0.000000, -12.509414
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000024, 0.000000, -12.539595
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000040, 0.000000, -12.590067
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000033, 0.000000, -12.631746
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000025, 0.000000, -12.663118
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000021, 0.000000, -12.689741
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000043, 0.000000, -12.743586
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -12.782206
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000025, -0.000000, -12.813290
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000023, 0.000000, -12.841762
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000041, -0.000000, -12.893594
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -12.932557
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000027, 0.000000, -12.966544
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000021, -0.000000, -12.993307
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000043, -0.000000, -13.047049
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -13.086022
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000027, -0.000000, -13.119208
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000022, 0.000000, -13.146836
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000041, 0.000000, -13.198451
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000030, -0.000000, -13.236514
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000027, -0.000000, -13.270194
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000021, 0.000000, -13.297065
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000043, -0.000000, -13.350838
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -13.389966
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000024, 0.000000, -13.420443
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000024, -0.000000, -13.450890
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000040, -0.000000, -13.501192
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -13.540144
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000027, 0.000000, -13.574212
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000021, 0.000000, -13.600971
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000043, -0.000000, -13.654849
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000031, 0.000000, -13.693658
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000025, 0.000000, -13.724379
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000024, -0.000000, -13.754619
STEERING (cc, dc, e, i, d, s): -0.007098, -0.007571, -0.000473, -0.000042, 0.000000, -13.806641
STEERING (cc, dc, e, i, d, s): -0.007204, -0.007572, -0.000368, -0.000023, 0.000000, -13.703852
STEERING (cc, dc, e, i, d, s): -0.007415, -0.007572, -0.000156, -0.000010, 0.000000, -13.451519
STEERING (cc, dc, e, i, d, s): -0.007785, -0.007572, 0.000213, 0.000014, 0.000000, -12.971569
STEERING (cc, dc, e, i, d, s): -0.008049, -0.007572, 0.000477, 0.000032, -0.000000, -12.601498
STEERING (cc, dc, e, i, d, s): -0.008788, -0.007572, 0.001217, 0.000080, 0.000000, -11.575992
STEERING (cc, dc, e, i, d, s): -0.009317, -0.007572, 0.001745, 0.000090, -0.000000, -10.802549
STEERING (cc, dc, e, i, d, s): -0.009686, -0.007572, 0.002115, 0.000103, -0.000000, -10.211281
STEERING (cc, dc, e, i, d, s): -0.010320, -0.007823, 0.002497, 0.000219, 0.000000, -9.458002
STEERING (cc, dc, e, i, d, s): -0.010901, -0.007823, 0.003078, 0.000201, 0.000000, -8.479154
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007823, 0.003237, 0.000187, -0.000000, -8.047451
STEERING (cc, dc, e, i, d, s): -0.011165, -0.007823, 0.003342, 0.000172, -0.000000, -7.699651
STEERING (cc, dc, e, i, d, s): -0.011165, -0.007823, 0.003342, 0.000282, -0.000000, -7.347566
STEERING (cc, dc, e, i, d, s): -0.011165, -0.007823, 0.003342, 0.000231, 0.000000, -7.058661
STEERING (cc, dc, e, i, d, s): -0.011165, -0.007823, 0.003342, 0.000164, -0.000000, -6.853201
STEERING (cc, dc, e, i, d, s): -0.011165, -0.007823, 0.003342, 0.000162, 0.000000, -6.651122
STEERING (cc, dc, e, i, d, s): -0.011165, -0.007824, 0.003341, 0.000292, -0.000000, -6.285804
STEERING (cc, dc, e, i, d, s): -0.011165, -0.007824, 0.003341, 0.000221, 0.000000, -6.008961
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003236, 0.000185, -0.000000, -5.910124
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000146, 0.000000, -5.727983
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000295, 0.000000, -5.358486
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000211, -0.000000, -5.094569
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000180, 0.000000, -4.869043
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007825, 0.003235, 0.000152, -0.000000, -4.678849
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007825, 0.003235, 0.000277, 0.000000, -4.331700
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000212, -0.000000, -4.067948
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000186, 0.000000, -3.835429
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000146, 0.000000, -3.652497
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000294, 0.000000, -3.285239
STEERING (cc, dc, e, i, d, s): -0.010954, -0.007826, 0.003128, 0.000206, -0.000000, -3.159955
STEERING (cc, dc, e, i, d, s): -0.010954, -0.005707, 0.005247, 0.000275, 0.000000, -0.165895
STEERING (cc, dc, e, i, d, s): -0.010954, -0.005707, 0.005247, 0.000271, -0.000000, 0.173621
STEERING (cc, dc, e, i, d, s): -0.010901, -0.005708, 0.005193, 0.000440, -0.000000, 0.656572
STEERING (cc, dc, e, i, d, s): -0.010531, -0.005708, 0.004824, 0.000315, -0.000000, 0.587950
STEERING (cc, dc, e, i, d, s): -0.010320, -0.005708, 0.004612, 0.000266, 0.000000, 0.655907
STEERING (cc, dc, e, i, d, s): -0.010056, -0.005708, 0.004348, 0.000197, -0.000000, 0.572216
STEERING (cc, dc, e, i, d, s): -0.009792, -0.005708, 0.004084, 0.000371, -0.000000, 0.706082
STEERING (cc, dc, e, i, d, s): -0.009475, -0.004280, 0.005195, 0.000346, 0.000000, 2.528922
