STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000039, 0.000729, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000038, -0.000750, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000029, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000060, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000042, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000034, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000033, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000056, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000035, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000032, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000059, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000034, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000033, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000056, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000036, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000032, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000062, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000040, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000034, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000033, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000056, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000036, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000059, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000034, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000033, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000056, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000036, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000059, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000034, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000033, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, 0.000338, 0.000059, 0.000000, 0.000000
