STEERING (cc, dc, e, i, d, s): 0.000866, 0.000000, -0.000866, -0.000080, -0.002342, -5.483401
STEERING (cc, dc, e, i, d, s): 0.000866, 0.000000, -0.000866, -0.000066, 0.002852, -0.836513
STEERING (cc, dc, e, i, d, s): 0.000866, 0.000000, -0.000866, -0.000132, -0.000000, -1.056108
STEERING (cc, dc, e, i, d, s): 0.000866, 0.000000, -0.000866, -0.000091, -0.000000, -1.208131
STEERING (cc, dc, e, i, d, s): 0.000866, 0.000000, -0.000866, -0.000078, -0.000000, -1.338407
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000069, 0.000156, -1.104291
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000117, -0.000092, -1.452433
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000089, -0.000000, -1.600827
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000077, -0.000000, -1.729535
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000061, -0.000000, -1.832105
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000123, -0.000000, -2.037044
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000086, -0.000000, -2.181099
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000073, -0.000000, -2.303224
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000074, -0.000000, -2.427117
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000111, -0.000000, -2.611927
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000090, -0.000000, -2.761586
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000078, -0.000000, -2.891101
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000061, -0.000000, -2.992608
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000123, -0.000000, -3.198013
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000086, -0.000000, -3.341288
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000072, -0.000000, -3.462201
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000069, -0.000000, -3.577911
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000116, -0.000000, -3.771660
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000090, -0.000000, -3.921497
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000077, -0.000000, -4.049865
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000062, -0.000000, -4.153066
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000122, -0.000000, -4.356863
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000086, -0.000000, -4.500598
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000074, -0.000000, -4.624052
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000068, -0.000000, -4.738182
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000116, -0.000000, -4.930944
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000090, -0.000000, -5.081461
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000077, -0.000000, -5.209731
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000067, -0.000000, -5.321495
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000118, -0.000000, -5.518062
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000086, -0.000000, -5.660922
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000073, -0.000000, -5.782768
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000069, -0.000000, -5.898494
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000116, -0.000000, -6.091989
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000090, -0.000000, -6.242291
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000077, -0.000000, -6.370977
STEERING (cc, dc, e, i, d, s): 0.000813, 0.000000, -0.000813, -0.000062, -0.000000, -6.473569
STEERING (cc, dc, e, i, d, s): 0.000707, 0.000000, -0.000707, -0.000107, 0.000175, -6.183185
STEERING (cc, dc, e, i, d, s): 0.000707, 0.000000, -0.000707, -0.000075, -0.000249, -6.724067
STEERING (cc, dc, e, i, d, s): 0.000707, 0.000000, -0.000707, -0.000063, -0.000000, -6.829607
STEERING (cc, dc, e, i, d, s): 0.000707, 0.000000, -0.000707, -0.000060, -0.000000, -6.930124
STEERING (cc, dc, e, i, d, s): 0.000707, 0.000000, -0.000707, -0.000101, -0.000000, -7.098591
STEERING (cc, dc, e, i, d, s): 0.000707, 0.000000, -0.000707, -0.000078, -0.000000, -7.228213
STEERING (cc, dc, e, i, d, s): 0.000602, 0.000000, -0.000602, -0.000058, 0.000276, -6.688341
STEERING (cc, dc, e, i, d, s): 0.000602, 0.000000, -0.000602, -0.000045, -0.000351, -7.349796
STEERING (cc, dc, e, i, d, s): 0.000602, 0.000000, -0.000602, -0.000091, -0.000000, -7.502056
STEERING (cc, dc, e, i, d, s): 0.000496, 0.000000, -0.000496, -0.000052, 0.000250, -6.996380
STEERING (cc, dc, e, i, d, s): 0.000496, 0.000000, -0.000496, -0.000044, -0.000296, -7.563759
STEERING (cc, dc, e, i, d, s): 0.000496, 0.000000, -0.000496, -0.000046, -0.000000, -7.640033
STEERING (cc, dc, e, i, d, s): 0.000496, 0.000000, -0.000496, -0.000068, -0.000000, -7.752765
STEERING (cc, dc, e, i, d, s): 0.000443, 0.000000, -0.000443, -0.000049, 0.000120, -7.546873
STEERING (cc, dc, e, i, d, s): 0.000443, 0.000000, -0.000443, -0.000042, -0.000140, -7.849907
STEERING (cc, dc, e, i, d, s): 0.000443, 0.000000, -0.000443, -0.000033, -0.000000, -7.905620
STEERING (cc, dc, e, i, d, s): 0.000443, 0.000000, -0.000443, -0.000067, -0.000000, -8.017672
STEERING (cc, dc, e, i, d, s): 0.000338, 0.000000, -0.000338, -0.000036, 0.000250, -7.484388
STEERING (cc, dc, e, i, d, s): 0.000338, 0.000000, -0.000338, -0.000031, -0.000290, -8.019835
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000020, 0.000313, -7.353538
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000033, -0.000185, -7.717401
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000026, -0.000000, -7.760115
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000022, -0.000000, -7.796849
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000018, -0.000000, -7.826098
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000035, -0.000000, -7.885112
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000024, -0.000000, -7.925570
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000021, -0.000000, -7.960492
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000020, -0.000000, -7.993342
STEERING (cc, dc, e, i, d, s): 0.000232, 0.000000, -0.000232, -0.000033, -0.000000, -8.048417
STEERING (cc, dc, e, i, d, s): 0.000126, 0.000000, -0.000126, -0.000014, 0.000239, -7.496321
STEERING (cc, dc, e, i, d, s): 0.000126, 0.000000, -0.000126, -0.000012, -0.000277, -7.978882
STEERING (cc, dc, e, i, d, s): 0.000126, 0.000000, -0.000126, -0.000010, -0.000000, -7.996097
STEERING (cc, dc, e, i, d, s): 0.000126, 0.000000, -0.000126, -0.000018, -0.000000, -8.026680
STEERING (cc, dc, e, i, d, s): 0.000126, 0.000000, -0.000126, -0.000013, -0.000000, -8.048918
STEERING (cc, dc, e, i, d, s): 0.000126, 0.000000, -0.000126, -0.000011, -0.000000, -8.067817
STEERING (cc, dc, e, i, d, s): 0.000126, 0.000000, -0.000126, -0.000011, -0.000000, -8.085749
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000011, 0.000092, -7.861263
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000008, -0.000120, -8.074141
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000007, -0.000000, -8.085733
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000006, -0.000000, -8.095043
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000011, -0.000000, -8.113522
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000008, -0.000000, -8.126584
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000007, -0.000000, -8.137531
STEERING (cc, dc, e, i, d, s): 0.000074, 0.000000, -0.000074, -0.000006, -0.000000, -8.148054
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000005, 0.000186, -7.653477
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000004, -0.000238, -8.044561
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000003, -0.000000, -8.039501
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000002, -0.000000, -8.035412
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000005, -0.000000, -8.027346
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000003, -0.000000, -8.021621
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000003, -0.000000, -8.016821
