timestamp 1655648223.863856, valid 1, tt 10.13063104, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.52593703
timestamp 1655648224.024008, valid 1, tt 10.13013026, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.52390782
timestamp 1655648224.213211, valid 1, tt 10.12793494, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.51501322
timestamp 1655648224.376814, valid 1, tt 10.13268226, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.53424995
timestamp 1655648224.606127, valid 1, tt 10.12985126, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.52277732
timestamp 1655648224.843172, valid 1, tt 10.12959518, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.52173971
timestamp 1655648225.011540, valid 1, tt 10.13393321, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.53932047
timestamp 1655648225.222674, valid 1, tt 10.13315538, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.53616758
timestamp 1655648225.312706, valid 1, tt 10.13526497, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.54471922
timestamp 1655648225.470310, valid 1, tt 10.12597251, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.50706384
timestamp 1655648225.636715, valid 1, tt 10.13023193, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.52431978
timestamp 1655648225.818726, valid 1, tt 10.11491243, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.46229068
timestamp 1655648226.007229, valid 1, tt 10.10888418, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.43790788
timestamp 1655648226.187435, valid 1, tt 10.12535972, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.50458190
timestamp 1655648226.408780, valid 1, tt 10.10371437, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.41700882
timestamp 1655648226.616575, valid 1, tt 10.12684409, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.51059424
timestamp 1655648226.766694, valid 1, tt 10.12012408, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.48338228
timestamp 1655648226.867888, valid 1, tt 10.12482963, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.50243501
timestamp 1655648227.060142, valid 1, tt 10.12057871, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.48522267
timestamp 1655648227.238215, valid 1, tt 10.12160136, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.48936284
timestamp 1655648227.385950, valid 1, tt 10.11862378, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.49121182
timestamp 1655648227.593497, valid 1, tt 10.11798114, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.47470846
timestamp 1655648227.787470, valid 1, tt 10.09543268, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.40812039
timestamp 1655648228.005766, valid 1, tt 10.11076707, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.47012765
timestamp 1655648228.139823, valid 1, tt 9.94155442, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.42800253
timestamp 1655648228.303786, valid 1, tt 9.94529547, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.44313085
timestamp 1655648228.462493, valid 1, tt 9.82175098, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.46996930
timestamp 1655648228.612582, valid 1, tt 9.71525462, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.41564034
timestamp 1655648228.852293, valid 1, tt 9.61547339, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.46102002
timestamp 1655648228.957800, valid 1, tt 9.59240545, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.36767775
timestamp 1655648229.076348, valid 1, tt 9.30121582, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.33802199
timestamp 1655648229.163926, valid 1, tt 9.24271669, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.35481126
timestamp 1655648229.415339, valid 1, tt 9.11171515, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.31318547
timestamp 1655648229.440818, valid 1, tt 8.88440919, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.28704086
timestamp 1655648229.626896, valid 1, tt 8.88707439, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.60512048
timestamp 1655648229.798880, valid 1, tt 8.70322010, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.54175018
timestamp 1655648229.903027, valid 1, tt 8.46932940, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.43921055
timestamp 1655648230.058232, valid 1, tt 8.33650002, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.32232876
timestamp 1655648230.196537, valid 1, tt 8.09807064, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.17872968
timestamp 1655648230.346015, valid 1, tt 8.01753626, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.55675763
timestamp 1655648230.617959, valid 1, tt 7.76750311, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.36504538
timestamp 1655648230.751365, valid 1, tt 7.50889710, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.62833976
timestamp 1655648230.877904, valid 1, tt 7.44679919, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.36525908
timestamp 1655648231.020488, valid 1, tt 7.17050338, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.66146483
timestamp 1655648231.133874, valid 1, tt 6.97918444, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.44004516
timestamp 1655648231.360943, valid 1, tt 6.73705448, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.22943575
timestamp 1655648231.532324, valid 1, tt 6.53806297, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.35190117
timestamp 1655648231.700085, valid 1, tt 6.30689542, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.45100529
timestamp 1655648231.839997, valid 1, tt 6.16582737, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.54423429
timestamp 1655648231.950605, valid 1, tt 6.02458705, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.69818599
timestamp 1655648232.045483, valid 1, tt 5.84608530, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.46921596
timestamp 1655648232.134588, valid 1, tt 5.76913772, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.59542963
timestamp 1655648232.202233, valid 1, tt 5.63759704, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.44849909
timestamp 1655648232.397089, valid 1, tt 5.49992914, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.24636188
timestamp 1655648232.576996, valid 1, tt 5.35412788, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.60891684
timestamp 1655648232.675468, valid 1, tt 5.12502387, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.18335166
timestamp 1655648232.753974, valid 1, tt 5.01923122, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.28136283
timestamp 1655648232.868882, valid 1, tt 5.02133385, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.58717776
timestamp 1655648232.950278, valid 1, tt 4.84416850, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.27217673
timestamp 1655648233.046495, valid 1, tt 4.76861597, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.48822673
timestamp 1655648233.125203, valid 1, tt 4.70988986, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.18059288
timestamp 1655648233.234215, valid 1, tt 4.55872055, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.26569050
timestamp 1655648233.298522, valid 1, tt 4.50782008, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.48473124
timestamp 1655648233.373047, valid 1, tt 4.42727838, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.04741227
timestamp 1655648233.399141, valid 1, tt 4.45230746, a 0.39680418, vf 0.00000000, sf 0.00000000, s 20.77737345
timestamp 1655648233.460035, valid 1, tt 4.37406746, a 0.38865077, vf 0.00000000, sf 0.00000000, s 20.55815061
