VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.024000, 0.000000, -0.024000, 0.000000, 30.000000, 0.000000, -0.824798, 1655648209.771038
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.004500, 0.000000, -0.004500, 0.000000, 30.000000, 0.000000, 0.750957, 1655648209.797006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000, 0.000000, 0.155189, 1655648209.826003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000, 0.000000, 0.000000, 1655648209.852004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000, 0.000000, 0.000000, 1655648209.879003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000, 0.000000, 0.000000, 1655648209.905003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000, 0.000000, 0.000000, 1655648209.933002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 30.292161, 0.000000, 0.000000, 1655648209.959002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 33.277553, 0.000000, 0.000000, 1655648209.986002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 36.113675, 0.000000, 0.000000, 1655648210.012005
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 38.807992, 0.000000, 0.000000, 1655648210.039002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 41.367592, 0.000000, 0.000000, 1655648210.065002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 43.799213, 0.000000, 0.000000, 1655648210.092002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 46.109252, 0.000000, 0.000000, 1655648210.118001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 48.303789, 0.000000, 0.000000, 1655648210.144051
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 50.388600, 0.000000, 0.000000, 1655648210.170001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 52.369170, 0.000000, 0.000000, 1655648210.197001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 54.250711, 0.000000, 0.000000, 1655648210.223001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 56.038176, 0.000000, 0.000000, 1655648210.249001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 57.736267, 0.000000, 0.000000, 1655648210.275001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 59.349454, 0.000000, 0.000000, 1655648210.301001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 60.881981, 0.000000, 0.000000, 1655648210.327001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 62.337882, 0.000000, 0.000000, 1655648210.354000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 63.720988, 0.000000, 0.000000, 1655648210.380001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 65.034938, 0.000000, 0.000000, 1655648210.407001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 66.283191, 0.000000, 0.000000, 1655648210.433000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 67.469032, 0.000000, 0.000000, 1655648210.459001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 68.595580, 0.000000, 0.000000, 1655648210.485000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 69.665801, 0.000000, 0.000000, 1655648210.511001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 70.682511, 0.000000, 0.000000, 1655648210.537002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 71.648386, 0.000000, 0.000000, 1655648210.564000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 72.565966, 0.000000, 0.000000, 1655648210.590002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 73.437668, 0.000000, 0.000000, 1655648210.617001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 74.265785, 0.000000, 0.000000, 1655648210.643002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 75.052495, 0.000000, 0.000000, 1655648210.669040
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 75.799871, 0.000000, 0.000000, 1655648210.695001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 76.509877, 0.000000, 0.000000, 1655648210.721003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 77.184383, 0.000000, 0.000000, 1655648210.747001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 77.825164, 0.000000, 0.000000, 1655648210.774000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 78.433906, 0.000000, 0.000000, 1655648210.800002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 79.012211, 0.000000, 0.000000, 1655648210.827001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 79.561600, 0.000000, 0.000000, 1655648210.853001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 80.083520, 0.000000, 0.000000, 1655648210.879082
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 80.579344, 0.000000, 0.000000, 1655648210.905000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 81.050377, 0.000000, 0.000000, 1655648210.931002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 81.497858, 0.000000, 0.000000, 1655648210.957001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 81.922965, 0.000000, 0.000000, 1655648210.983044
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 82.326817, 0.000000, 0.000000, 1655648211.009002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 82.710476, 0.000000, 0.000000, 1655648211.036000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 83.074952, 0.000000, 0.000000, 1655648211.062001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 83.421205, 0.000000, 0.000000, 1655648211.089002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 83.750144, 0.000000, 0.000000, 1655648211.115001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 84.062637, 0.000000, 0.000000, 1655648211.141014
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 84.359505, 0.000000, 0.000000, 1655648211.167000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 84.641530, 0.000000, 0.000000, 1655648211.193002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 84.909454, 0.000000, 0.000000, 1655648211.219001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 85.163981, 0.000000, 0.000000, 1655648211.246001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 85.405782, 0.000000, 0.000000, 1655648211.272001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 85.635493, 0.000000, 0.000000, 1655648211.299000
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 85.853718, 0.000000, 0.000000, 1655648211.325002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 86.061032, 0.000000, 0.000000, 1655648211.352001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 86.257981, 0.000000, 0.000000, 1655648211.378002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 86.445082, 0.000000, 0.000000, 1655648211.404099
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 86.622827, 0.000000, 0.000000, 1655648211.430001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 86.791686, 0.000000, 0.000000, 1655648211.456002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 86.952102, 0.000000, 0.000000, 1655648211.482002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.104497, 0.000000, 0.000000, 1655648211.509001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.249272, 0.000000, 0.000000, 1655648211.535002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.386808, 0.000000, 0.000000, 1655648211.562001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.517468, 0.000000, 0.000000, 1655648211.588001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.641594, 0.000000, 0.000000, 1655648211.615001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.759515, 0.000000, 0.000000, 1655648211.641001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.871539, 0.000000, 0.000000, 1655648211.668003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 87.977962, 0.000000, 0.000000, 1655648211.694001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.079064, 0.000000, 0.000000, 1655648211.720001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.175111, 0.000000, 0.000000, 1655648211.746002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.266355, 0.000000, 0.000000, 1655648211.773001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.353037, 0.000000, 0.000000, 1655648211.799003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.435386, 0.000000, 0.000000, 1655648211.826001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.513616, 0.000000, 0.000000, 1655648211.852001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.587935, 0.000000, 0.000000, 1655648211.879001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.658539, 0.000000, 0.000000, 1655648211.905001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.725612, 0.000000, 0.000000, 1655648211.932001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.789331, 0.000000, 0.000000, 1655648211.958001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.849865, 0.000000, 0.000000, 1655648211.985001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.907371, 0.000000, 0.000000, 1655648212.011001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 88.962003, 0.000000, 0.000000, 1655648212.038001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.013903, 0.000000, 0.000000, 1655648212.064001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.063208, 0.000000, 0.000000, 1655648212.091002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.110047, 0.000000, 0.000000, 1655648212.117001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.154545, 0.000000, 0.000000, 1655648212.143030
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.196818, 0.000000, 0.000000, 1655648212.169001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.236977, 0.000000, 0.000000, 1655648212.195001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.275128, 0.000000, 0.000000, 1655648212.221001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.311371, 0.000000, 0.000000, 1655648212.248002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.345803, 0.000000, 0.000000, 1655648212.274001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.378513, 0.000000, 0.000000, 1655648212.301001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.409587, 0.000000, 0.000000, 1655648212.327001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.439108, 0.000000, 0.000000, 1655648212.354001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.467152, 0.000000, 0.000000, 1655648212.380001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.493795, 0.000000, 0.000000, 1655648212.407002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.519105, 0.000000, 0.000000, 1655648212.433001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.543150, 0.000000, 0.000000, 1655648212.459030
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.565992, 0.000000, 0.000000, 1655648212.485001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.587693, 0.000000, 0.000000, 1655648212.511002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.608308, 0.000000, 0.000000, 1655648212.537003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.627893, 0.000000, 0.000000, 1655648212.564002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.646498, 0.000000, 0.000000, 1655648212.590003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.664173, 0.000000, 0.000000, 1655648212.617002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.680964, 0.000000, 0.000000, 1655648212.643001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.696916, 0.000000, 0.000000, 1655648212.670001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.712070, 0.000000, 0.000000, 1655648212.696001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.726467, 0.000000, 0.000000, 1655648212.723001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.740144, 0.000000, 0.000000, 1655648212.749001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.753136, 0.000000, 0.000000, 1655648212.776002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.765480, 0.000000, 0.000000, 1655648212.802003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.777206, 0.000000, 0.000000, 1655648212.829001
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.788345, 0.000000, 0.000000, 1655648212.855002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.798928, 0.000000, 0.000000, 1655648212.882003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.808982, 0.000000, 0.000000, 1655648212.908002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.818533, 0.000000, 0.000000, 1655648212.935002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.827606, 0.000000, 0.000000, 1655648213.011212
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.836226, 0.000000, 0.000000, 1655648213.040005
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.844414, 0.000000, 0.000000, 1655648213.066003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.852194, 0.000000, 0.000000, 1655648213.094004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.859584, 0.000000, 0.000000, 1655648213.120004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.866605, 0.000000, 0.000000, 1655648213.149003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.873275, 0.000000, 0.000000, 1655648213.175005
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.879611, 0.000000, 0.000000, 1655648213.204004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.885630, 0.000000, 0.000000, 1655648213.230003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.891349, 0.000000, 0.000000, 1655648213.258003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.896781, 0.000000, 0.000000, 1655648213.284002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.901942, 0.000000, 0.000000, 1655648213.311003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.906845, 0.000000, 0.000000, 1655648213.337004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.911503, 0.000000, 0.000000, 1655648213.365004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.915928, 0.000000, 0.000000, 1655648213.391006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.920131, 0.000000, 0.000000, 1655648213.419004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.924125, 0.000000, 0.000000, 1655648213.445007
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.927919, 0.000000, 0.000000, 1655648213.473005
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.931523, 0.000000, 0.000000, 1655648213.499003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.934946, 0.000000, 0.000000, 1655648213.527006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.938199, 0.000000, 0.000000, 1655648213.553008
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.941289, 0.000000, 0.000000, 1655648213.582007
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.944225, 0.000000, 0.000000, 1655648213.609467
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.947013, 0.000000, 0.000000, 1655648213.637007
