image label x y z rx ry rz timestamp
/dados/ufes/20191003/1570117889.210752.bb3.l.png 0 7757730.3562 -363561.284062 0.0 0.037827 0.023097 0.674785 1570117889.210752
/dados/ufes/20191003/1570117928.424578.bb3.l.png 1 7757734.3402 -363558.144286 0.0 0.035305 -0.016079 0.677648 1570117928.424578
/dados/ufes/20191003/1570117929.611112.bb3.l.png 2 7757738.44882 -363555.113682 0.0 0.037699 -0.030118 0.662518 1570117929.611112
/dados/ufes/20191003/1570117930.610327.bb3.l.png 3 7757742.55146 -363552.010419 0.0 0.038893 -0.043297 0.661246 1570117930.610327
/dados/ufes/20191003/1570117931.547136.bb3.l.png 4 7757746.7374 -363548.810127 0.0 0.046705 -0.050046 0.669928 1570117931.547136
/dados/ufes/20191003/1570117932.421384.bb3.l.png 5 7757751.0108 -363545.509366 0.0 0.059163 -0.051509 0.672911 1570117932.421384
/dados/ufes/20191003/1570117933.233292.bb3.l.png 6 7757755.21166 -363542.282578 0.0 0.0505 -0.050288 0.667493 1570117933.233292
/dados/ufes/20191003/1570117933.982701.bb3.l.png 7 7757759.3385 -363539.104213 0.0 0.045324 -0.050641 0.660624 1570117933.982701
/dados/ufes/20191003/1570117934.732098.bb3.l.png 8 7757763.63225 -363535.829442 0.0 0.041511 -0.050475 0.652415 1570117934.732098
/dados/ufes/20191003/1570117935.419097.bb3.l.png 9 7757767.70063 -363532.807609 0.0 0.033059 -0.046577 0.631837 1570117935.419097
/dados/ufes/20191003/1570117936.106006.bb3.l.png 10 7757771.85134 -363529.921612 0.0 0.033576 -0.043294 0.560801 1570117936.106006
/dados/ufes/20191003/1570117936.793035.bb3.l.png 11 7757776.20671 -363527.445091 0.0 0.030465 -0.040935 0.454045 1570117936.793035
/dados/ufes/20191003/1570117937.479978.bb3.l.png 12 7757780.75842 -363525.369347 0.0 0.018902 -0.040917 0.356678 1570117937.479978
/dados/ufes/20191003/1570117938.166961.bb3.l.png 13 7757785.56312 -363523.757782 0.0 0.011196 -0.04909 0.252019 1570117938.166961
/dados/ufes/20191003/1570117938.853920.bb3.l.png 14 7757790.5903 -363522.666653 0.0 0.00946 -0.044522 0.143026 1570117938.853920
/dados/ufes/20191003/1570117939.540937.bb3.l.png 15 7757795.70919 -363522.164099 0.0 -0.014686 -0.051053 0.031673 1570117939.540937
/dados/ufes/20191003/1570117940.227987.bb3.l.png 16 7757800.89991 -363522.166672 0.0 -0.025503 -0.049365 -0.074955 1570117940.227987
/dados/ufes/20191003/1570117940.914902.bb3.l.png 17 7757806.13814 -363522.723976 0.0 -0.037238 -0.06224 -0.182786 1570117940.914902
/dados/ufes/20191003/1570117941.601889.bb3.l.png 18 7757811.17793 -363523.851437 0.0 -0.051821 -0.069111 -0.302402 1570117941.601889
/dados/ufes/20191003/1570117942.288882.bb3.l.png 19 7757816.18351 -363525.519891 0.0 -0.055088 -0.077762 -0.401375 1570117942.288882
/dados/ufes/20191003/1570117942.975924.bb3.l.png 20 7757821.0463 -363527.752757 0.0 -0.072695 -0.099469 -0.514995 1570117942.975924
/dados/ufes/20191003/1570117943.662858.bb3.l.png 21 7757825.59236 -363530.445471 0.0 -0.05149 -0.088795 -0.624426 1570117943.662858
/dados/ufes/20191003/1570117944.349907.bb3.l.png 22 7757829.93262 -363533.743054 0.0 -0.034414 -0.091202 -0.696401 1570117944.349907
/dados/ufes/20191003/1570117944.974454.bb3.l.png 23 7757833.81608 -363536.96379 0.0 -0.037947 -0.085573 -0.712114 1570117944.974454
/dados/ufes/20191003/1570117945.598991.bb3.l.png 24 7757837.78143 -363540.334481 0.0 -0.039472 -0.078855 -0.707426 1570117945.598991
