x, y, theta, v, timestamp, left_img, right_img
7757671.609,-363606.606,0.711,0.144,1397835354.1128261089324951171875000,1397835354.1128261089324951171875000.bb08.l.png,1397835354.1128261089324951171875000.bb08.r.png
7757671.671,-363606.541,0.711,0.171,1397835354.2377591133117675781250000,1397835354.2377591133117675781250000.bb08.l.png,1397835354.2377591133117675781250000.bb08.r.png
7757671.692,-363606.542,0.711,0.200,1397835354.3628189563751220703125000,1397835354.3628189563751220703125000.bb08.l.png,1397835354.3628189563751220703125000.bb08.r.png
7757671.718,-363606.527,0.711,0.265,1397835354.4878249168395996093750000,1397835354.4878249168395996093750000.bb08.l.png,1397835354.4878249168395996093750000.bb08.r.png
7757671.722,-363606.501,0.711,0.288,1397835354.6127929687500000000000000,1397835354.6127929687500000000000000.bb08.l.png,1397835354.6127929687500000000000000.bb08.r.png
7757671.900,-363606.474,0.711,0.402,1397835354.7378439903259277343750000,1397835354.7378439903259277343750000.bb08.l.png,1397835354.7378439903259277343750000.bb08.r.png
7757671.939,-363606.443,0.711,0.404,1397835354.8628690242767333984375000,1397835354.8628690242767333984375000.bb08.l.png,1397835354.8628690242767333984375000.bb08.r.png
7757671.919,-363606.398,0.710,0.559,1397835354.9879150390625000000000000,1397835354.9879150390625000000000000.bb08.l.png,1397835354.9879150390625000000000000.bb08.r.png
7757671.982,-363606.343,0.710,0.629,1397835355.1128330230712890625000000,1397835355.1128330230712890625000000.bb08.l.png,1397835355.1128330230712890625000000.bb08.r.png
7757671.983,-363606.280,0.710,0.708,1397835355.2378060817718505859375000,1397835355.2378060817718505859375000.bb08.l.png,1397835355.2378060817718505859375000.bb08.r.png
7757672.129,-363606.249,0.709,0.854,1397835355.3628799915313720703125000,1397835355.3628799915313720703125000.bb08.l.png,1397835355.3628799915313720703125000.bb08.r.png
7757672.197,-363606.178,0.708,0.874,1397835355.4878680706024169921875000,1397835355.4878680706024169921875000.bb08.l.png,1397835355.4878680706024169921875000.bb08.r.png
7757672.328,-363606.018,0.706,1.085,1397835355.6128540039062500000000000,1397835355.6128540039062500000000000.bb08.l.png,1397835355.6128540039062500000000000.bb08.r.png
7757672.583,-363605.872,0.704,1.155,1397835355.7378439903259277343750000,1397835355.7378439903259277343750000.bb08.l.png,1397835355.7378439903259277343750000.bb08.r.png
7757672.768,-363605.801,0.701,1.260,1397835355.8628699779510498046875000,1397835355.8628699779510498046875000.bb08.l.png,1397835355.8628699779510498046875000.bb08.r.png
7757672.897,-363605.718,0.700,1.289,1397835355.9878580570220947265625000,1397835355.9878580570220947265625000.bb08.l.png,1397835355.9878580570220947265625000.bb08.r.png
7757673.025,-363605.618,0.700,1.352,1397835356.1128270626068115234375000,1397835356.1128270626068115234375000.bb08.l.png,1397835356.1128270626068115234375000.bb08.r.png
7757673.185,-363605.471,0.692,1.465,1397835356.2378060817718505859375000,1397835356.2378060817718505859375000.bb08.l.png,1397835356.2378060817718505859375000.bb08.r.png
7757673.365,-363605.337,0.689,1.527,1397835356.3628420829772949218750000,1397835356.3628420829772949218750000.bb08.l.png,1397835356.3628420829772949218750000.bb08.r.png
7757673.485,-363605.244,0.685,1.615,1397835356.4878380298614501953125000,1397835356.4878380298614501953125000.bb08.l.png,1397835356.4878380298614501953125000.bb08.r.png
7757673.615,-363605.133,0.683,1.611,1397835356.6128540039062500000000000,1397835356.6128540039062500000000000.bb08.l.png,1397835356.6128540039062500000000000.bb08.r.png
7757673.793,-363604.998,0.682,1.748,1397835356.7378540039062500000000000,1397835356.7378540039062500000000000.bb08.l.png,1397835356.7378540039062500000000000.bb08.r.png
7757673.940,-363604.888,0.680,1.777,1397835356.8628489971160888671875000,1397835356.8628489971160888671875000.bb08.l.png,1397835356.8628489971160888671875000.bb08.r.png
7757674.127,-363604.736,0.681,1.837,1397835356.9878780841827392578125000,1397835356.9878780841827392578125000.bb08.l.png,1397835356.9878780841827392578125000.bb08.r.png
7757674.288,-363604.614,0.680,1.939,1397835357.1127738952636718750000000,1397835357.1127738952636718750000000.bb08.l.png,1397835357.1127738952636718750000000.bb08.r.png
7757674.487,-363604.456,0.679,1.934,1397835357.2378230094909667968750000,1397835357.2378230094909667968750000.bb08.l.png,1397835357.2378230094909667968750000.bb08.r.png
7757674.680,-363604.304,0.679,2.033,1397835357.3628549575805664062500000,1397835357.3628549575805664062500000.bb08.l.png,1397835357.3628549575805664062500000.bb08.r.png
7757674.877,-363604.133,0.679,2.116,1397835357.4878759384155273437500000,1397835357.4878759384155273437500000.bb08.l.png,1397835357.4878759384155273437500000.bb08.r.png
7757675.083,-363603.959,0.678,2.089,1397835357.6128630638122558593750000,1397835357.6128630638122558593750000.bb08.l.png,1397835357.6128630638122558593750000.bb08.r.png
7757675.314,-363603.794,0.680,2.280,1397835357.7379260063171386718750000,1397835357.7379260063171386718750000.bb08.l.png,1397835357.7379260063171386718750000.bb08.r.png
7757675.538,-363603.618,0.681,2.257,1397835357.8628430366516113281250000,1397835357.8628430366516113281250000.bb08.l.png,1397835357.8628430366516113281250000.bb08.r.png
7757675.723,-363603.486,0.680,2.403,1397835357.9878749847412109375000000,1397835357.9878749847412109375000000.bb08.l.png,1397835357.9878749847412109375000000.bb08.r.png
7757675.959,-363603.301,0.680,2.527,1397835358.1128530502319335937500000,1397835358.1128530502319335937500000.bb08.l.png,1397835358.1128530502319335937500000.bb08.r.png
7757676.228,-363603.089,0.681,2.689,1397835358.2377860546112060546875000,1397835358.2377860546112060546875000.bb08.l.png,1397835358.2377860546112060546875000.bb08.r.png
7757676.505,-363602.883,0.682,2.695,1397835358.3628671169281005859375000,1397835358.3628671169281005859375000.bb08.l.png,1397835358.3628671169281005859375000.bb08.r.png
7757676.745,-363602.667,0.682,2.920,1397835358.4878990650177001953125000,1397835358.4878990650177001953125000.bb08.l.png,1397835358.4878990650177001953125000.bb08.r.png
7757677.032,-363602.437,0.681,2.992,1397835358.6128680706024169921875000,1397835358.6128680706024169921875000.bb08.l.png,1397835358.6128680706024169921875000.bb08.r.png
7757677.343,-363602.206,0.683,3.286,1397835358.7378580570220947265625000,1397835358.7378580570220947265625000.bb08.l.png,1397835358.7378580570220947265625000.bb08.r.png
7757677.664,-363601.947,0.684,3.336,1397835358.8628640174865722656250000,1397835358.8628640174865722656250000.bb08.l.png,1397835358.8628640174865722656250000.bb08.r.png
7757677.972,-363601.687,0.685,3.576,1397835358.9878540039062500000000000,1397835358.9878540039062500000000000.bb08.l.png,1397835358.9878540039062500000000000.bb08.r.png
7757678.312,-363601.423,0.684,3.605,1397835359.1128940582275390625000000,1397835359.1128940582275390625000000.bb08.l.png,1397835359.1128940582275390625000000.bb08.r.png
7757678.679,-363601.122,0.683,3.760,1397835359.2378211021423339843750000,1397835359.2378211021423339843750000.bb08.l.png,1397835359.2378211021423339843750000.bb08.r.png
7757679.013,-363600.843,0.684,3.902,1397835359.3628740310668945312500000,1397835359.3628740310668945312500000.bb08.l.png,1397835359.3628740310668945312500000.bb08.r.png
7757679.371,-363600.565,0.684,3.953,1397835359.4879119396209716796875000,1397835359.4879119396209716796875000.bb08.l.png,1397835359.4879119396209716796875000.bb08.r.png
7757679.766,-363600.252,0.685,4.138,1397835359.6128919124603271484375000,1397835359.6128919124603271484375000.bb08.l.png,1397835359.6128919124603271484375000.bb08.r.png
7757680.128,-363599.963,0.684,4.176,1397835359.7379100322723388671875000,1397835359.7379100322723388671875000.bb08.l.png,1397835359.7379100322723388671875000.bb08.r.png
7757680.536,-363599.632,0.684,4.313,1397835359.8628969192504882812500000,1397835359.8628969192504882812500000.bb08.l.png,1397835359.8628969192504882812500000.bb08.r.png
7757680.934,-363599.317,0.684,4.412,1397835359.9878649711608886718750000,1397835359.9878649711608886718750000.bb08.l.png,1397835359.9878649711608886718750000.bb08.r.png
7757681.364,-363598.971,0.684,4.490,1397835360.1129450798034667968750000,1397835360.1129450798034667968750000.bb08.l.png,1397835360.1129450798034667968750000.bb08.r.png
7757681.806,-363598.655,0.684,4.614,1397835360.2378480434417724609375000,1397835360.2378480434417724609375000.bb08.l.png,1397835360.2378480434417724609375000.bb08.r.png
7757682.236,-363598.310,0.684,4.629,1397835360.3628969192504882812500000,1397835360.3628969192504882812500000.bb08.l.png,1397835360.3628969192504882812500000.bb08.r.png
7757682.664,-363597.942,0.687,4.728,1397835360.4878649711608886718750000,1397835360.4878649711608886718750000.bb08.l.png,1397835360.4878649711608886718750000.bb08.r.png
7757683.095,-363597.606,0.684,4.758,1397835360.6128809452056884765625000,1397835360.6128809452056884765625000.bb08.l.png,1397835360.6128809452056884765625000.bb08.r.png
7757683.545,-363597.237,0.684,4.829,1397835360.7379179000854492187500000,1397835360.7379179000854492187500000.bb08.l.png,1397835360.7379179000854492187500000.bb08.r.png
7757684.031,-363596.861,0.680,5.018,1397835360.8628900051116943359375000,1397835360.8628900051116943359375000.bb08.l.png,1397835360.8628900051116943359375000.bb08.r.png
7757684.484,-363596.495,0.681,4.942,1397835360.9878790378570556640625000,1397835360.9878790378570556640625000.bb08.l.png,1397835360.9878790378570556640625000.bb08.r.png
7757684.901,-363596.202,0.682,5.178,1397835361.1128869056701660156250000,1397835361.1128869056701660156250000.bb08.l.png,1397835361.1128869056701660156250000.bb08.r.png
7757685.413,-363595.815,0.683,5.240,1397835361.2379209995269775390625000,1397835361.2379209995269775390625000.bb08.l.png,1397835361.2379209995269775390625000.bb08.r.png
7757685.902,-363595.433,0.682,5.281,1397835361.3629069328308105468750000,1397835361.3629069328308105468750000.bb08.l.png,1397835361.3629069328308105468750000.bb08.r.png
7757686.443,-363594.979,0.679,5.530,1397835361.4878790378570556640625000,1397835361.4878790378570556640625000.bb08.l.png,1397835361.4878790378570556640625000.bb08.r.png
7757686.953,-363594.605,0.679,5.553,1397835361.6129109859466552734375000,1397835361.6129109859466552734375000.bb08.l.png,1397835361.6129109859466552734375000.bb08.r.png
7757687.511,-363594.189,0.678,5.672,1397835361.7379291057586669921875000,1397835361.7379291057586669921875000.bb08.l.png,1397835361.7379291057586669921875000.bb08.r.png
7757688.063,-363593.753,0.681,5.807,1397835361.8629140853881835937500000,1397835361.8629140853881835937500000.bb08.l.png,1397835361.8629140853881835937500000.bb08.r.png
7757688.644,-363593.286,0.677,5.791,1397835361.9878919124603271484375000,1397835361.9878919124603271484375000.bb08.l.png,1397835361.9878919124603271484375000.bb08.r.png
7757689.207,-363592.862,0.678,5.858,1397835362.1128859519958496093750000,1397835362.1128859519958496093750000.bb08.l.png,1397835362.1128859519958496093750000.bb08.r.png
7757689.796,-363592.401,0.679,6.081,1397835362.2379100322723388671875000,1397835362.2379100322723388671875000.bb08.l.png,1397835362.2379100322723388671875000.bb08.r.png
7757690.388,-363591.934,0.678,6.161,1397835362.3628830909729003906250000,1397835362.3628830909729003906250000.bb08.l.png,1397835362.3628830909729003906250000.bb08.r.png
7757690.948,-363591.485,0.678,6.175,1397835362.4879310131072998046875000,1397835362.4879310131072998046875000.bb08.l.png,1397835362.4879310131072998046875000.bb08.r.png
7757691.535,-363591.013,0.676,6.206,1397835362.6129050254821777343750000,1397835362.6129050254821777343750000.bb08.l.png,1397835362.6129050254821777343750000.bb08.r.png
7757692.112,-363590.583,0.675,6.325,1397835362.7379539012908935546875000,1397835362.7379539012908935546875000.bb08.l.png,1397835362.7379539012908935546875000.bb08.r.png
7757692.671,-363590.137,0.676,6.400,1397835362.8629090785980224609375000,1397835362.8629090785980224609375000.bb08.l.png,1397835362.8629090785980224609375000.bb08.r.png
7757693.259,-363589.685,0.678,6.402,1397835362.9879159927368164062500000,1397835362.9879159927368164062500000.bb08.l.png,1397835362.9879159927368164062500000.bb08.r.png
7757693.845,-363589.193,0.679,6.503,1397835363.1128311157226562500000000,1397835363.1128311157226562500000000.bb08.l.png,1397835363.1128311157226562500000000.bb08.r.png
