# CARMEN Logfile
# file format is one message per line
# message_name [message contents] ipc_timestamp ipc_hostname logger_timestamp
# message formats defined: PARAM SYNC ODOM RAWLASER1 RAWLASER2 RAWLASER3 RAWLASER4 ROBOTLASER1 ROBOTLASER2 FLASER RLASER LASER3 LASER4
# PARAM param_name param_value
# COMMENT text 
# SYNC tagname
# ODOM x y theta tv rv accel
# TRUEPOS true_x true_y true_theta odom_x odom_y odom_theta
# RAWLASER1 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# RAWLASER2 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# RAWLASER3 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# RAWLASER4 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# POSITIONLASER laserid x y z phi(roll) theta(pitch) psi(yaw) 
# ROBOTLASER1 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values] laser_pose_x laser_pose_y laser_pose_theta robot_pose_x robot_pose_y robot_pose_theta laser_tv laser_rv forward_safety_dist side_safty_dist turn_axis
# ROBOTLASER2 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values] laser_pose_x laser_pose_y laser_pose_theta robot_pose_x robot_pose_y robot_pose_theta laser_tv laser_rv forward_safety_dist side_safty_dist turn_axis
# NMEAGGA gpsnr utc latitude_dm lat_orient longitude_dm long_orient gps_quality num_satellites hdop sea_level alititude geo_sea_level geo_sep data_age
# NMEARMC gpsnr validity utc latitude_dm lat_orient longitude_dm long_orient speed course variation var_dir date
# SONAR cone_angle num_sonars [sonar_reading] [sonar_offsets x y theta]
# BUMPER num_bumpers [bumper_reading] [bumper_offsets x y]
# SCANMARK start_stop_indicator laserID 
# IMU accelerationX accelerationY accelerationZ quaternion_q0 quaternion_q1 quaternion_q2 quaternion_q3 magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_EULER accelerationX accelerationY accelerationZ pitch roll yaw magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_QUAT accelerationX accelerationY accelerationZ quaternion_q0 quaternion_q1 quaternion_q2 quaternion_q3 magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_MATRIX accelerationX accelerationY accelerationZ matrix_0-0 matrix_0-1 matrix_0-2 matrix_1-0 matrix_1-1 matrix_1-2 matrix_2-0 matrix_2-1 matrix_2-2s magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_MTIG quaternion_q0 quaternion_q1 quaternion_q2 quaternion_q3 accelerationX accelerationY accelerationZ gyroX gyroY gyroZ magneticfieldX magneticfieldY magneticfieldZ velocityX velocityY velocityZ latitude longitude height gps_fix xkf_valid sensor_ID
# VECTORMOVE distance theta
# ROBOTVELOCITY tv rv 
# VECTORMOVE distance theta
# ROBOTVELOCITY tv rv 
# FOLLOWTRAJECTORY x y theta tv rv num readings [trajectory points: x y theta tv rv]
# BASEVELOCITY tv rv 
# 
# OLD LOG MESSAGES: 
# (old) # FLASER num_readings [range_readings] x y theta odom_x odom_y odom_theta
# (old) # RLASER num_readings [range_readings] x y theta odom_x odom_y odom_theta
# (old) # LASER3 num_readings [range_readings]
# (old) # LASER4 num_readings [range_readings]
# (old) # REMISSIONFLASER num_readings [range_readings remission_value]
# (old) # REMISSIONRLASER num_readings [range_readings remission_value]
# (old) # REMISSIONLASER3 num_readings [range_readings remission_value]
# (old) # REMISSIONLASER4 num_readings [range_readings remission_value]
# robot: default
PARAM skeleton_module_sensor_getkey on 1588794003.470283 lcad-G7-7588 1588794003.470283
PARAM localize_ackerman_correction_type 0 1588794003.470549 lcad-G7-7588 1588794003.470549
PARAM localize_num_particles 300 1588794003.470572 lcad-G7-7588 1588794003.470572
PARAM localize_ackerman_jump_size 1 1588794003.470574 lcad-G7-7588 1588794003.470574
PARAM localize_use_log_odds on 1588794003.470575 lcad-G7-7588 1588794003.470575
PARAM localize_lmap_std 0.40 1588794003.470577 lcad-G7-7588 1588794003.470577
PARAM localize_tracking_beam_minlikelihood 0.04 1588794003.470579 lcad-G7-7588 1588794003.470579
PARAM localize_tracking_beam_maxlikelihood 0.99 1588794003.470580 lcad-G7-7588 1588794003.470580
PARAM localize_global_lmap_std 5.60 1588794003.470582 lcad-G7-7588 1588794003.470582
PARAM localize_global_beam_minlikelihood 0.20 1588794003.470584 lcad-G7-7588 1588794003.470584
PARAM localize_global_beam_maxlikelihood 0.98 1588794003.470585 lcad-G7-7588 1588794003.470585
PARAM localize_min_wall_prob 0.25 1588794003.470587 lcad-G7-7588 1588794003.470587
PARAM localize_occupied_prob 0.5 1588794003.470589 lcad-G7-7588 1588794003.470589
PARAM localize_outlier_fraction 0.75 1588794003.470590 lcad-G7-7588 1588794003.470590
PARAM localize_phi_bias_std 0.0005 1588794003.470592 lcad-G7-7588 1588794003.470592
PARAM localize_small_remission_likelihood 0.005 1588794003.470593 lcad-G7-7588 1588794003.470593
PARAM localize_min_remission_variance 0.00025 1588794003.470595 lcad-G7-7588 1588794003.470595
PARAM localize_yaw_uncertainty_due_to_grid_resolution 0.107 1588794003.470597 lcad-G7-7588 1588794003.470597
PARAM localize_xy_uncertainty_due_to_grid_resolution 0.01 1588794003.470601 lcad-G7-7588 1588794003.470601
PARAM localize_particles_normalize_factor 1.0 1588794003.470604 lcad-G7-7588 1588794003.470604
PARAM localize_v_uncertainty_at_zero_v 0.0 1588794003.470606 lcad-G7-7588 1588794003.470606
PARAM localize_remission_variance_multiplier 2.0 1588794003.470607 lcad-G7-7588 1588794003.470607
PARAM localize_laser_max_range 50.0 1588794003.470609 lcad-G7-7588 1588794003.470609
PARAM localize_ackerman_safe_range_above_sensors -0.3 1588794003.470610 lcad-G7-7588 1588794003.470610
PARAM localize_ackerman_number_of_sensors 10 1588794003.470613 lcad-G7-7588 1588794003.470613
PARAM localize_ackerman_velodyne on 1588794003.470615 lcad-G7-7588 1588794003.470615
PARAM localize_ackerman_unsafe_height_above_ground 10.5 1588794003.470617 lcad-G7-7588 1588794003.470617
PARAM localize_ackerman_velodyne_laser_max_range 50.0 1588794003.470620 lcad-G7-7588 1588794003.470620
PARAM localize_ackerman_velodyne_range_max 50.0 1588794003.470623 lcad-G7-7588 1588794003.470623
PARAM localize_ackerman_velodyne_locc 3.7 1588794003.470625 lcad-G7-7588 1588794003.470625
PARAM localize_ackerman_velodyne_lfree -0.6 1588794003.470626 lcad-G7-7588 1588794003.470626
PARAM localize_ackerman_velodyne_l0 0.0 1588794003.470628 lcad-G7-7588 1588794003.470628
PARAM localize_ackerman_velodyne_unexpeted_delta_range_sigma 0.45 1588794003.470630 lcad-G7-7588 1588794003.470630
PARAM localize_ackerman_velodyne_range_max_factor 1.0 1588794003.470633 lcad-G7-7588 1588794003.470633
PARAM localize_ackerman_laser_ldmrs off 1588794003.470636 lcad-G7-7588 1588794003.470636
PARAM localize_ackerman_laser_ldmrs_locc 5.0 1588794003.470638 lcad-G7-7588 1588794003.470638
PARAM localize_ackerman_laser_ldmrs_lfree -5.0 1588794003.470670 lcad-G7-7588 1588794003.470670
PARAM localize_ackerman_laser_ldmrs_l0 0.0 1588794003.470672 lcad-G7-7588 1588794003.470672
